City ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
290,Anzegem,BE,50.8314,3.4548,37.99,88,67,5.08,broken clouds
291,Hamilton,US,39.1834,-84.5333,57.2,35,1,5.75,clear sky
292,Vilhena,BR,-12.7406,-60.1458,73.4,94,20,3.44,few clouds
293,Heinola,FI,61.2056,26.0381,41.0,56,0,6.91,clear sky
294,Klaksvik,FO,62.2266,-6.589,41.0,93,75,8.05,broken clouds
295,Kieta,PG,-6.2167,155.6333,88.77,63,18,5.32,few clouds
296,Yola,NG,9.2,12.4833,83.1,55,100,5.44,overcast clouds
297,Ancud,CL,-41.8697,-73.8203,55.4,100,90,11.5,light rain
298,Thinadhoo,MV,0.5333,72.9333,82.44,64,27,7.54,scattered clouds
299,Bow Island,CA,49.8668,-111.3684,32.0,93,100,11.5,overcast clouds
300,Beidao,CN,34.5686,105.8933,46.99,49,98,3.0,overcast clouds
301,Mantua,IT,45.1667,10.7833,46.99,86,100,1.01,overcast clouds
302,Tuatapere,NZ,-46.1333,167.6833,63.0,74,94,3.0,overcast clouds
303,Saldanha,ZA,-33.0117,17.9442,64.4,82,44,6.91,scattered clouds
304,Sibut,CF,5.718,19.0739,71.78,87,100,4.88,overcast clouds
305,Benguela,AO,-12.5763,13.4055,79.68,77,100,4.29,overcast clouds
306,Katsuura,JP,35.1333,140.3,62.6,31,0,17.27,clear sky
307,Uvat,RU,59.1433,68.8953,15.1,68,17,6.76,few clouds
308,Esna,EG,25.2934,32.554,82.4,36,0,3.44,clear sky
309,San Rafael,AR,-34.6177,-68.3301,74.17,58,61,12.8,broken clouds
310,Birjand,IR,32.8663,59.2211,51.8,35,40,4.61,scattered clouds
311,Tiksi,RU,71.6872,128.8694,10.74,82,95,11.68,overcast clouds
312,Ilorin,NG,8.5,4.55,78.91,59,100,9.69,overcast clouds
313,Poya,NC,-21.35,165.15,83.1,66,99,2.48,overcast clouds
314,Pimenta Bueno,BR,-11.6725,-61.1936,72.82,97,100,2.39,overcast clouds
315,Ketchikan,US,55.3422,-131.6461,71.6,24,1,11.5,clear sky
316,Manggar,ID,-2.8833,108.2667,83.62,67,99,5.55,overcast clouds
317,Auning,DK,56.4308,10.3782,43.0,87,16,5.5,few clouds
318,Bud,US,39.447,-86.1758,55.0,55,100,4.9,overcast clouds
319,Macon,US,39.8667,-88.9668,57.99,54,75,4.61,broken clouds
320,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,16.11,clear sky
321,Mallaig,CA,54.2169,-111.3685,39.2,56,100,13.8,overcast clouds
322,Galesong,ID,-5.3166,119.3661,78.8,83,20,2.3,few clouds
323,Vostok,RU,46.4856,135.8833,45.43,56,91,15.12,overcast clouds
324,Almeirim,BR,-1.5233,-52.5817,72.23,98,99,1.34,overcast clouds
325,Torbay,CA,47.6666,-52.7314,36.0,100,90,6.91,light rain
326,Nautla,MX,20.2167,-96.7833,69.71,78,100,12.12,overcast clouds
327,La Tuque,CA,47.4334,-72.7824,48.2,61,100,2.64,overcast clouds
328,Souillac,MU,-20.5167,57.5167,78.8,83,40,11.5,scattered clouds
329,Bandar-E Lengeh,IR,26.5579,54.8807,69.8,78,0,4.94,clear sky
330,Olafsvik,IS,64.8945,-23.7142,35.06,58,99,12.82,overcast clouds
331,Lockport,US,41.5895,-88.0578,60.8,38,40,5.75,scattered clouds
332,Wattegama,LK,6.7989,81.4808,73.4,100,20,1.14,few clouds
333,Saint-Joseph,RE,-21.3667,55.6167,75.2,78,90,14.97,overcast clouds
334,Balogo,PH,10.8868,124.7105,77.65,90,100,12.39,overcast clouds
335,Puerto Princesa,PH,9.7392,118.7353,82.4,78,75,4.61,broken clouds
336,Denpasar,ID,-8.65,115.2167,82.4,83,20,3.44,few clouds
337,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.59,85,10,2.62,clear sky
338,Sopur,IN,34.3,74.4667,45.14,78,5,1.41,clear sky
339,Yichang,CN,30.7144,111.2847,63.18,69,11,2.39,few clouds
340,Sayat,TM,38.7839,63.8803,59.0,51,0,6.91,clear sky
341,Bassila,BJ,9.0081,1.6654,75.2,88,0,3.67,clear sky
342,Marrakesh,MA,31.6315,-8.0083,64.4,63,20,3.44,few clouds
343,Sumbe,AO,-11.2061,13.8437,79.9,85,47,5.14,scattered clouds
